target	target_name	ref_type	from_address	from_function
00400000	IMAGE_DOS_HEADER_00400000	DATA	00400104	
00433000	PTR_RegCloseKey_00433000	DATA	00400100	
00433000	PTR_RegCloseKey_00433000	DATA	004001a8	
00433000	PTR_RegCloseKey_00433000	DATA	004001fc	
00433000	PTR_RegCloseKey_00433000	READ	004093d9	entry
00433004	PTR_RegQueryValueExA_00433004	READ	004093ce	entry
00433008	PTR_RegOpenKeyExA_00433008	READ	0040939d	entry
00433010	PTR_CreateStatusWindowA_00433010	READ	0040a9f1	FUN_0040a790
00433014	PTR_InitCommonControls_00433014	READ	0042b100	
00433014	PTR_InitCommonControls_00433014	READ	0042b180	
00433014	PTR_InitCommonControls_00433014	READ	0042b1b0	
00433014	PTR_InitCommonControls_00433014	READ	0042b7b0	
00433014	PTR_InitCommonControls_00433014	READ	0042b8c9	
0043301c	PTR_DeleteObject_0043301c	READ	004099e6	FUN_004099e0
0043301c	PTR_DeleteObject_0043301c	READ	0041b628	FUN_0041b2e0
0043301c	PTR_DeleteObject_0043301c	READ	0041ac4a	FUN_0041aa00
0043301c	PTR_DeleteObject_0043301c	READ	00408531	FUN_004084c0
0043301c	PTR_DeleteObject_0043301c	READ	00421958	FUN_004214a0
0043301c	PTR_DeleteObject_0043301c	READ	0041601f	FUN_00415d40
0043301c	PTR_DeleteObject_0043301c	READ	00421f5c	
0043301c	PTR_DeleteObject_0043301c	READ	00424530	
00433020	PTR_RealizePalette_00433020	READ	0041a375	FUN_0041a1b0
00433020	PTR_RealizePalette_00433020	READ	00408c45	FUN_00408c20
00433020	PTR_RealizePalette_00433020	READ	0040c7d7	
00433020	PTR_RealizePalette_00433020	READ	00421d10	
00433024	PTR_SelectPalette_00433024	READ	0041a364	FUN_0041a1b0
00433024	PTR_SelectPalette_00433024	READ	0041a696	FUN_0041a1b0
00433024	PTR_SelectPalette_00433024	READ	00408c2f	FUN_00408c20
00433024	PTR_SelectPalette_00433024	READ	0040c7cc	
00433024	PTR_SelectPalette_00433024	READ	0040c8c6	
00433024	PTR_SelectPalette_00433024	READ	00421d00	
00433024	PTR_SelectPalette_00433024	READ	00421f66	
00433028	PTR_GetDeviceCaps_00433028	READ	00409290	FUN_00409250
00433028	PTR_GetDeviceCaps_00433028	READ	00427c58	
00433028	PTR_GetDeviceCaps_00433028	READ	00421ce4	
0043302c	PTR_CreatePalette_0043302c	READ	004097bf	entry
00433030	PTR_CreateSolidBrush_00433030	READ	0040a7fe	FUN_0040a790
00433030	PTR_CreateSolidBrush_00433030	READ	0042455c	
00433034	PTR_GetStockObject_00433034	READ	0041b35c	FUN_0041b2e0
00433034	PTR_GetStockObject_00433034	READ	0041aa73	FUN_0041aa00
00433034	PTR_GetStockObject_00433034	READ	0041aac0	FUN_0041aa00
00433034	PTR_GetStockObject_00433034	READ	0040cad0	
00433034	PTR_GetStockObject_00433034	READ	00421d8c	
00433038	PTR_SetBkColor_00433038	READ	0041aa95	FUN_0041aa00
00433038	PTR_SetBkColor_00433038	READ	0040d0b6	
0043303c	PTR_SetTextColor_0043303c	READ	0041aa85	FUN_0041aa00
0043303c	PTR_SetTextColor_0043303c	READ	0040cac8	
0043303c	PTR_SetTextColor_0043303c	READ	0040d0ab	
00433040	PTR_StretchDIBits_00433040	READ	00419f7a	FUN_00419eb0
00433040	PTR_StretchDIBits_00433040	READ	00427da5	
00433040	PTR_StretchDIBits_00433040	READ	0040c8b8	
00433044	PTR_SetStretchBltMode_00433044	READ	0041a383	FUN_0041a1b0
00433044	PTR_SetStretchBltMode_00433044	READ	0040c884	
00433048	PTR_CreateFontA_00433048	READ	0041b336	FUN_0041b2e0
00433048	PTR_CreateFontA_00433048	READ	00415f77	FUN_00415d40
00433048	PTR_CreateFontA_00433048	READ	00415fa7	FUN_00415d40
0043304c	PTR_DeleteDC_0043304c	READ	00421937	FUN_004214a0
0043304c	PTR_DeleteDC_0043304c	READ	00427dc6	
0043304c	PTR_DeleteDC_0043304c	READ	00421f77	
0043304c	PTR_DeleteDC_0043304c	READ	00421f88	
00433050	PTR_GetDIBits_00433050	READ	004218bb	FUN_004214a0
00433050	PTR_GetDIBits_00433050	READ	00421ea5	
00433054	PTR_TextOutA_00433054	READ	00421806	FUN_004214a0
00433058	PTR_GetTextExtentPoint32A_00433058	READ	004217d1	FUN_004214a0
0043305c	PTR_SelectObject_0043305c	READ	0042169b	FUN_004214a0
0043305c	PTR_SelectObject_0043305c	READ	00421827	FUN_004214a0
0043305c	PTR_SelectObject_0043305c	READ	00421d65	
0043305c	PTR_SelectObject_0043305c	READ	00421f51	
00433060	PTR_CreateCompatibleDC_00433060	READ	0042168a	FUN_004214a0
00433060	PTR_CreateCompatibleDC_00433060	READ	00421d1e	
00433064	PTR_CreateBitmap_00433064	READ	0042165d	FUN_004214a0
00433068	PTR_BitBlt_00433068	READ	00421e1b	
0043306c	PTR_CreateCompatibleBitmap_0043306c	READ	00421d4f	
00433070	PTR_CreateDCA_00433070	READ	00421cd0	
00433074	PTR_EndDoc_00433074	READ	00427dbb	
00433078	PTR_EndPage_00433078	READ	00427db0	
0043307c	PTR_StartPage_0043307c	READ	00427c3f	
00433080	PTR_StartDocA_00433080	READ	00427c34	
00433084	PTR_EnumFontFamiliesA_00433084	READ	00430899	
0043308c	PTR_GetProcAddress_0043308c	READ	0040945e	entry
0043308c	PTR_GetProcAddress_0043308c	READ	0042cc54	FUN_0042cc10
00433090	PTR_GetModuleHandleA_00433090	READ	004092f3	entry
00433094	PTR_GetVersionExA_00433094	READ	004092ea	entry
00433098	PTR_GetVersion_00433098	READ	004092d0	entry
0043309c	PTR_ExitProcess_0043309c	READ	00409a1c	FUN_004099e0
004330a0	PTR_GetExitCodeProcess_004330a0	READ	00409d64	FUN_00409af0
004330a4	PTR_WaitForSingleObject_004330a4	READ	00409d54	FUN_00409af0
004330a8	PTR_GetWindowsDirectoryA_004330a8	READ	00409c53	FUN_00409af0
004330ac	PTR_SetCurrentDirectoryA_004330ac	READ	00409ba2	FUN_00409af0
004330ac	PTR_SetCurrentDirectoryA_004330ac	READ	00409c24	FUN_00409af0
004330ac	PTR_SetCurrentDirectoryA_004330ac	READ	0041e2b6	
004330b0	PTR_CreateProcessA_004330b0	READ	00409b5d	FUN_00409af0
004330b4	PTR_CreateDirectoryA_004330b4	READ	0040a34e	FUN_0040a300
004330b8	PTR_SetConsoleTitleA_004330b8	READ	0040b332	FUN_0040b320
004330bc	PTR_HeapAlloc_004330bc	READ	0040d31f	FUN_0040d2f0
004330bc	PTR_HeapAlloc_004330bc	READ	0040d3f1	FUN_0040d3a0
004330c0	PTR_HeapCreate_004330c0	READ	0040d305	FUN_0040d2f0
004330c4	PTR_HeapDestroy_004330c4	READ	0040d351	FUN_0040d340
004330c8	PTR_HeapFree_004330c8	READ	0040d42e	FUN_0040d410
004330c8	PTR_HeapFree_004330c8	READ	0040d5cd	FUN_0040d470
004330cc	PTR_HeapReAlloc_004330cc	READ	0040d5f1	FUN_0040d470
004330d0	PTR_HeapSize_004330d0	READ	0040d574	FUN_0040d470
004330d4	PTR_VirtualAlloc_004330d4	READ	0040d71b	FUN_0040d6d0
004330d4	PTR_VirtualAlloc_004330d4	READ	0040d876	FUN_0040d870
004330d8	PTR_VirtualFree_004330d8	READ	0040d81e	FUN_0040d7a0
004330d8	PTR_VirtualFree_004330d8	READ	0040d8ee	FUN_0040d870
004330d8	PTR_VirtualFree_004330d8	READ	0040d984	FUN_0040d940
004330dc	PTR_AllocConsole_004330dc	READ	004171dd	FUN_00417120
004330e0	PTR_GetDiskFreeSpaceA_004330e0	READ	00417d7a	FUN_00417d40
004330e4	PTR_GetUserDefaultLangID_004330e4	READ	004093e7	entry
004330e8	PTR_GetACP_004330e8	READ	004092fe	entry
004330ec	PTR_SetVolumeLabelA_004330ec	READ	0041e308	
004330f0	PTR_SetEndOfFile_004330f0	READ	0041e5e9	
004330f4	PTR_SetLocalTime_004330f4	READ	0041eb6a	
004330f8	PTR_WritePrivateProfileStringA_004330f8	READ	004253ad	
004330fc	PTR_RemoveDirectoryA_004330fc	READ	00427249	
00433100	PTR_FindClose_00433100	READ	0042f4f3	FUN_0042f400
00433100	PTR_FindClose_00433100	READ	0042738e	
00433100	PTR_FindClose_00433100	READ	0042a3d6	FUN_0042a3b0
00433104	PTR_GetVolumeInformationA_00433104	READ	0042736e	
00433104	PTR_GetVolumeInformationA_00433104	READ	0042a399	
00433104	PTR_GetVolumeInformationA_00433104	READ	0042f114	
00433108	PTR_GetLogicalDrives_00433108	READ	00427320	
0043310c	PTR_FindFirstFileA_0043310c	READ	0042f4bc	FUN_0042f400
0043310c	PTR_FindFirstFileA_0043310c	READ	004272cd	
0043310c	PTR_FindFirstFileA_0043310c	READ	0042a3ca	FUN_0042a3b0
00433110	PTR_CopyFileA_00433110	READ	004273e6	
00433114	PTR_MoveFileA_00433114	READ	00427434	
00433118	PTR_GlobalFree_00433118	READ	00427bb7	
0043311c	PTR_FileTimeToSystemTime_0043311c	READ	00428a8a	FUN_00428a70
00433120	PTR_LocalFileTimeToFileTime_00433120	READ	00428aba	FUN_00428aa0
00433124	PTR_SystemTimeToFileTime_00433124	READ	00429f18	
00433124	PTR_SystemTimeToFileTime_00433124	READ	0042a070	
00433128	PTR_FileTimeToLocalFileTime_00433128	READ	00429f6a	
00433128	PTR_FileTimeToLocalFileTime_00433128	READ	0042a411	FUN_0042a400
00433128	PTR_FileTimeToLocalFileTime_00433128	READ	0042a461	
00433128	PTR_FileTimeToLocalFileTime_00433128	READ	0042a4b1	
0043312c	PTR_GetDriveTypeA_0043312c	READ	0042a565	
00433130	PTR_QueryPerformanceCounter_00433130	READ	0042c22c	
00433134	PTR_QueryPerformanceFrequency_00433134	READ	0042c1e8	
00433138	PTR_FindNextFileA_00433138	READ	0042f456	FUN_0042f400
0043313c	PTR_GetPrivateProfileStringA_0043313c	READ	0042f5d6	FUN_0042f590
00433140	PTR_GetLocalTime_00433140	READ	004094cc	entry
00433140	PTR_GetLocalTime_00433140	READ	00429f08	
00433144	PTR_GetModuleFileNameA_00433144	READ	0040958e	entry
00433148	PTR_GetCommandLineA_00433148	READ	004098e5	entry
0043314c	PTR_FindResourceA_0043314c	READ	004096e5	entry
00433150	PTR_SizeofResource_00433150	READ	0040971b	entry
00433154	PTR_LoadResource_00433154	READ	004096f5	entry
00433158	PTR_LockResource_00433158	READ	00409726	entry
0043315c	PTR_FreeLibrary_0043315c	READ	004099f6	FUN_004099e0
0043315c	PTR_FreeLibrary_0043315c	READ	0042cbe2	FUN_0042cbc0
00433160	PTR_LoadLibraryA_00433160	READ	00409449	entry
00433160	PTR_LoadLibraryA_00433160	READ	0042cc3b	FUN_0042cc10
00433160	PTR_LoadLibraryA_00433160	READ	0042b68e	FUN_0042b680
00433164	PTR_SetFilePointer_00433164	READ	00417f33	FUN_00417f00
00433164	PTR_SetFilePointer_00433164	READ	004181fd	FUN_004181b0
00433164	PTR_SetFilePointer_00433164	READ	004182d2	FUN_004181b0
00433164	PTR_SetFilePointer_00433164	READ	0041812e	FUN_004180c0
00433164	PTR_SetFilePointer_00433164	READ	0041e5d7	
00433168	PTR_SetFileAttributesA_00433168	READ	0041e464	FUN_0041e410
0043316c	PTR_GetFileAttributesA_0043316c	READ	0041e43b	FUN_0041e410
0043316c	PTR_GetFileAttributesA_0043316c	READ	00427468	FUN_00427450
0043316c	PTR_GetFileAttributesA_0043316c	READ	0042f671	FUN_0042f610
0043316c	PTR_GetFileAttributesA_0043316c	READ	0042711e	
