entry	name	body_size	caller_count	callee_count	callees	strings	data_globals
00401000	FUN_00401000	22	1	0			00436100
00401020	FUN_00401020	15	9	0			
00401030	FUN_00401030	63	6	3	DestroyIcon; DestroyCursor; FUN_0040d410		004332c4; 004332c8
00401070	FUN_00401070	20	8	0			00436100
00401090	FUN_00401090	11	15	0			
004010a0	FUN_004010a0	55	1	1	FUN_0040d3a0		
004010e0	FUN_004010e0	78	7	2	FUN_0040d3a0; FUN_00408a50		
00401130	FUN_00401130	80	1	3	DestroyIcon; DestroyCursor; FUN_0040d410		004332c4; 004332c8; 00436100
00401180	FUN_00401180	124	0	4	DestroyIcon; DestroyCursor; FUN_0040d410; FUN_0040d3a0		004332c4; 004332c8
00401200	FUN_00401200	400	1	8	FUN_004010e0; CreateFileA; FUN_0040d3a0; WriteFile; CloseHandle; FUN_0040d410; FUN_00406610; DeleteFileA		004331ac; 00437118; 004331a8; 004331b0; 004331a4
00401390	FUN_00401390	137	0	7	FUN_004064c0; FUN_00406d50; FUN_00401020; FUN_00401200; ExtractIconA; DeleteFileA; FUN_00406610		00437268; 004331e0; 004331a4
00401420	FUN_00401420	419	0	4	FUN_004010e0; FUN_0040d3a0; CreateCursor; FUN_0040d410		00433c8c; 00433c90; 00433c8e; 00437268; 004332c0
004015d0	FUN_004015d0	80	3	3	DestroyIcon; DestroyCursor; FUN_0040d410		004332c4; 004332c8
00401630	FUN_00401630	31	0	2	FUN_00401670; FUN_0040d470		
00401650	FUN_00401650	17	2	0			0043708c
00401670	FUN_00401670	44	1	1	FUN_00401030		
004016a0	FUN_004016a0	40	1	2	FUN_00401850; FUN_004010a0		
004016d0	FUN_004016d0	45	1	2	FUN_00401850; FUN_00401090		
00401700	FUN_00401700	68	0	3	FUN_00401850; FUN_00401090; FUN_00401070		
00401750	FUN_00401750	180	1	3	FUN_00401850; FUN_00401090; FUN_00401070		
00401810	FUN_00401810	38	1	2	FUN_004018a0; FUN_004018d0		
00401840	thunk_FUN_00401880	5	3	1	FUN_00401880		
00401850	FUN_00401850	37	18	1	FUN_0040d470		
00401880	FUN_00401880	24	0	1	FUN_0040d470		
004018a0	FUN_004018a0	45	2	1	FUN_0040d470		
004018d0	FUN_004018d0	16	1	0			
004018e0	FUN_004018e0	177	1	1	FUN_004018a0		
004019a0	FUN_004019a0	50	4	0			
004019e0	FUN_004019e0	39	6	1	FUN_00401850		
00401a10	FUN_00401a10	13	18	0			
00401a20	FUN_00401a20	37	1	2	FUN_00401a80; FUN_00401ab0		
00401a50	FUN_00401a50	34	3	1	FUN_0040d470		
00401a80	FUN_00401a80	39	1	1	FUN_0040d470		
00401ab0	FUN_00401ab0	42	1	0			
00401ae0	FUN_00401ae0	39	1	1	FUN_00401a50		
00401b10	FUN_00401b10	58	0	1	FUN_00401a50		
00401b50	FUN_00401b50	160	1	1	FUN_00401a50		
00401c00	FUN_00401c00	37	2	1	FUN_0040d470		
00401c30	FUN_00401c30	31	0	2	FUN_00401c50; FUN_0040d470		
00401c50	FUN_00401c50	18	3	0			
00401c70	FUN_00401c70	72	1	1	FUN_00401c00		00436118; 0043611c; 00436120; 00436124
00401cc0	FUN_00401cc0	124	0	1	FUN_00401c00		00436118; 0043611c; 00436120; 00436124
00401d40	FUN_00401d40	66	1	2	FUN_0040d3a0; FUN_00401070		00436f30
00401d90	FUN_00401d90	16	2	0			00436f30
00401da0	FUN_00401da0	100	1	2	FUN_0040d3a0; FUN_00401070		
00401e10	FUN_00401e10	10	2	0			00436f30
00401e20	FUN_00401e20	114	1	2	FUN_0040d3a0; FUN_00401070		
00401ea0	FUN_00401ea0	56	3	2	FUN_00401030; FUN_0040d410		
00401ee0	FUN_00401ee0	85	1	4	FUN_00401650; FUN_00401020; FUN_004015d0; FUN_00401030		00437228
00401f40	FUN_00401f40	189	0	3	FUN_0040d3a0; FUN_00401070; FUN_004015d0		
00402000	FUN_00402000	162	0	4	FUN_00401030; FUN_0040d410; FUN_0040d3a0; FUN_00401070		
004020b0	FUN_004020b0	73	0	2	FUN_00401030; FUN_0040d410		
00402110	FUN_00402110	31	0	2	FUN_00402130; FUN_0040d470		
00402130	FUN_00402130	44	1	1	FUN_00401ea0		
00402160	FUN_00402160	73	1	3	FUN_00401850; FUN_00401e20; FUN_00401ee0		
004021b0	FUN_004021b0	47	1	2	FUN_00401850; FUN_00401090		
004021e0	FUN_004021e0	68	0	3	FUN_00401850; FUN_00401090; FUN_00401e10		
00402230	FUN_00402230	180	1	3	FUN_00401850; FUN_00401090; FUN_00401e10		
004022f0	FUN_004022f0	22	1	0			00436128
00402310	FUN_00402310	20	2	0			00436128
00402330	FUN_00402330	31	2	1	FUN_0040d410		
00402350	FUN_00402350	48	1	1	FUN_0040d410		00436128
00402380	FUN_00402380	48	0	1	FUN_0040d410		
004023c0	FUN_004023c0	31	0	2	FUN_004023e0; FUN_0040d470		
004023e0	FUN_004023e0	44	1	1	FUN_00402330		
00402410	FUN_00402410	68	0	3	FUN_00401850; FUN_00401090; FUN_00402310		
00402460	FUN_00402460	180	1	3	FUN_00401850; FUN_00401090; FUN_00402310		
00402520	FUN_00402520	31	6	1	FUN_0040d410		
00402540	FUN_00402540	22	2	0			00436138
00402560	FUN_00402560	88	1	1	FUN_0040d3a0		
004025c0	thunk_FUN_00402520	5	8	1	FUN_00402520		
004025d0	FUN_004025d0	20	6	0			00436138
004025f0	FUN_004025f0	143	7	2	FUN_00402700; FUN_0040d3a0		
00402680	FUN_00402680	27	1	1	FUN_00402520		00436138
004026a0	FUN_004026a0	91	3	2	FUN_00402520; FUN_0040d3a0		
00402700	FUN_00402700	83	11	2	FUN_0040d3a0; FUN_00408a50		
00402760	FUN_00402760	205	0	2	FUN_004025f0; FUN_00402700		
00402830	FUN_00402830	60	0	1	FUN_004025f0		
00402870	FUN_00402870	48	0	1	FUN_004025f0		
004028a0	FUN_004028a0	169	2	2	FUN_00402700; FUN_0040d3a0		00437118
00402950	FUN_00402950	750	2	4	FUN_004026a0; FUN_00402700; FUN_0040d3a0; FUN_0040d410		00437150; 00437118
00402c40	FUN_00402c40	1233	1	3	FUN_0040a250; FUN_0040d3a0; FUN_0040d410		004333f0; 004333e8; 004333e0; 004333d8; 004333d0; 004333c8; 004333c0; 004333b8; 004333b0; 004333a8; 004333a0; 00433398; … (+5 more)
00403120	FUN_00403120	1230	1	3	FUN_0040a250; FUN_0040d3a0; FUN_0040d410		004333f0; 004333e8; 004333e0; 004333d8; 004333d0; 004333c8; 004333c0; 004333b8; 004333b0; 004333a8; 004333a0; 00433398; … (+5 more)
004035f0	FUN_004035f0	237	1	4	FUN_0040d3a0; FUN_00402c40; FUN_0040d410; FUN_00403120		
004036e0	FUN_004036e0	420	1	11	FUN_00402700; FUN_0040d3a0; FUN_00402540; FUN_004026a0; FUN_0040a2d0; FUN_0040d410; FUN_00404260; thunk_FUN_00402520; FUN_004028a0; FUN_004035f0; FUN_00402950		
00403890	FUN_00403890	653	0	7	FUN_00402700; FUN_0040d3a0; FUN_004025f0; FUN_0040a250; FUN_0040d410; FUN_004028a0; FUN_00402950		004333f8; 004333e0; 00437118; 00437150; 00433c8d
00403b20	FUN_00403b20	1471	0	9	FUN_00430a3a; FUN_00402700; FUN_00402560; FUN_004025f0; FUN_00404260; thunk_FUN_00402520; FUN_004036e0; FUN_0040a2d0; FUN_0040a250		004333c8; 00433ca0; 00433418; 00433410; 00433380; 00433c98; 004333d8; 00433408; 00433400
004040e0	FUN_004040e0	176	1	1	FUN_0040d3a0		0043724c
00404190	FUN_00404190	102	0	2	FUN_00402700; FUN_004025f0		
00404200	FUN_00404200	80	0	2	FUN_00402700; FUN_004025f0		
00404250	FUN_00404250	3	1	0			
00404260	FUN_00404260	27	2	1	FUN_00402520		
00404280	FUN_00404280	25	1	1	FUN_00402520		
004042a0	FUN_004042a0	97	0	3	FUN_004010e0; FUN_00402520; FUN_0040d3a0		
00404310	FUN_00404310	260	0	3	FUN_00402520; FUN_0040d3a0; FUN_004010e0		
00404430	FUN_00404430	31	0	2	FUN_00404450; FUN_0040d470		
00404450	FUN_00404450	44	1	1	thunk_FUN_00402520		
