library	symbol	address
KERNEL32.DLL	GetProcAddress	EXTERNAL:00000001
KERNEL32.DLL	GetModuleHandleA	EXTERNAL:00000002
KERNEL32.DLL	GetVersionExA	EXTERNAL:00000003
KERNEL32.DLL	GetVersion	EXTERNAL:00000004
KERNEL32.DLL	ExitProcess	EXTERNAL:00000005
KERNEL32.DLL	GetExitCodeProcess	EXTERNAL:00000006
KERNEL32.DLL	WaitForSingleObject	EXTERNAL:00000007
KERNEL32.DLL	GetWindowsDirectoryA	EXTERNAL:00000008
KERNEL32.DLL	SetCurrentDirectoryA	EXTERNAL:00000009
KERNEL32.DLL	CreateProcessA	EXTERNAL:0000000a
KERNEL32.DLL	CreateDirectoryA	EXTERNAL:0000000b
KERNEL32.DLL	SetConsoleTitleA	EXTERNAL:0000000c
KERNEL32.DLL	HeapAlloc	EXTERNAL:0000000d
KERNEL32.DLL	HeapCreate	EXTERNAL:0000000e
KERNEL32.DLL	HeapDestroy	EXTERNAL:0000000f
KERNEL32.DLL	HeapFree	EXTERNAL:00000010
KERNEL32.DLL	HeapReAlloc	EXTERNAL:00000011
KERNEL32.DLL	HeapSize	EXTERNAL:00000012
KERNEL32.DLL	VirtualAlloc	EXTERNAL:00000013
KERNEL32.DLL	VirtualFree	EXTERNAL:00000014
KERNEL32.DLL	AllocConsole	EXTERNAL:00000015
KERNEL32.DLL	GetDiskFreeSpaceA	EXTERNAL:00000016
KERNEL32.DLL	GetUserDefaultLangID	EXTERNAL:00000017
KERNEL32.DLL	GetACP	EXTERNAL:00000018
KERNEL32.DLL	SetVolumeLabelA	EXTERNAL:00000019
KERNEL32.DLL	SetEndOfFile	EXTERNAL:0000001a
KERNEL32.DLL	SetLocalTime	EXTERNAL:0000001b
KERNEL32.DLL	WritePrivateProfileStringA	EXTERNAL:0000001c
KERNEL32.DLL	RemoveDirectoryA	EXTERNAL:0000001d
KERNEL32.DLL	FindClose	EXTERNAL:0000001e
KERNEL32.DLL	GetVolumeInformationA	EXTERNAL:0000001f
KERNEL32.DLL	GetLogicalDrives	EXTERNAL:00000020
KERNEL32.DLL	FindFirstFileA	EXTERNAL:00000021
KERNEL32.DLL	CopyFileA	EXTERNAL:00000022
KERNEL32.DLL	MoveFileA	EXTERNAL:00000023
KERNEL32.DLL	GlobalFree	EXTERNAL:00000024
KERNEL32.DLL	FileTimeToSystemTime	EXTERNAL:00000025
KERNEL32.DLL	LocalFileTimeToFileTime	EXTERNAL:00000026
KERNEL32.DLL	SystemTimeToFileTime	EXTERNAL:00000027
KERNEL32.DLL	FileTimeToLocalFileTime	EXTERNAL:00000028
KERNEL32.DLL	GetDriveTypeA	EXTERNAL:00000029
KERNEL32.DLL	QueryPerformanceCounter	EXTERNAL:0000002a
KERNEL32.DLL	QueryPerformanceFrequency	EXTERNAL:0000002b
KERNEL32.DLL	FindNextFileA	EXTERNAL:0000002c
KERNEL32.DLL	GetPrivateProfileStringA	EXTERNAL:0000002d
KERNEL32.DLL	GetLocalTime	EXTERNAL:0000002e
KERNEL32.DLL	GetModuleFileNameA	EXTERNAL:0000002f
KERNEL32.DLL	GetCommandLineA	EXTERNAL:00000030
KERNEL32.DLL	FindResourceA	EXTERNAL:00000031
KERNEL32.DLL	SizeofResource	EXTERNAL:00000032
KERNEL32.DLL	LoadResource	EXTERNAL:00000033
KERNEL32.DLL	LockResource	EXTERNAL:00000034
KERNEL32.DLL	FreeLibrary	EXTERNAL:00000035
KERNEL32.DLL	LoadLibraryA	EXTERNAL:00000036
KERNEL32.DLL	SetFilePointer	EXTERNAL:00000037
KERNEL32.DLL	SetFileAttributesA	EXTERNAL:00000038
KERNEL32.DLL	GetFileAttributesA	EXTERNAL:00000039
KERNEL32.DLL	SetFileTime	EXTERNAL:0000003a
KERNEL32.DLL	ReadFile	EXTERNAL:0000003b
KERNEL32.DLL	GetFileSize	EXTERNAL:0000003c
KERNEL32.DLL	MultiByteToWideChar	EXTERNAL:0000003d
KERNEL32.DLL	GetStdHandle	EXTERNAL:0000003e
KERNEL32.DLL	lstrlenW	EXTERNAL:0000003f
KERNEL32.DLL	CompareStringA	EXTERNAL:00000040
KERNEL32.DLL	GetCurrentDirectoryA	EXTERNAL:00000041
KERNEL32.DLL	GetTempPathA	EXTERNAL:00000042
KERNEL32.DLL	GetTempFileNameA	EXTERNAL:00000043
KERNEL32.DLL	FreeConsole	EXTERNAL:00000044
KERNEL32.DLL	GetFullPathNameA	EXTERNAL:00000045
KERNEL32.DLL	WideCharToMultiByte	EXTERNAL:00000046
KERNEL32.DLL	DeleteFileA	EXTERNAL:00000047
KERNEL32.DLL	WriteFile	EXTERNAL:00000048
KERNEL32.DLL	CreateFileA	EXTERNAL:00000049
KERNEL32.DLL	CloseHandle	EXTERNAL:0000004a
KERNEL32.DLL	RaiseException	EXTERNAL:0000004b
KERNEL32.DLL	lstrlenA	EXTERNAL:0000004c
USER32.DLL	GetCursorPos	EXTERNAL:0000004d
USER32.DLL	PostQuitMessage	EXTERNAL:0000004e
USER32.DLL	DefWindowProcA	EXTERNAL:0000004f
USER32.DLL	MessageBoxA	EXTERNAL:00000050
USER32.DLL	UpdateWindow	EXTERNAL:00000051
USER32.DLL	FillRect	EXTERNAL:00000052
USER32.DLL	InvalidateRect	EXTERNAL:00000053
