group_id	group_start	group_end	string_address	value_preview
0	00433ecc	00433ed4	00433ecc	"floor"
1	0043439e	004351cf	0043439e	"DeleteFileA"
1	0043439e	004351cf	004343ac	"CloseHandle"
1	0043439e	004351cf	004343ba	"WriteFile"
1	0043439e	004351cf	004343c6	"CreateFileA"
1	0043439e	004351cf	004343d4	"lstrlenA"
1	0043439e	004351cf	004343e0	"WideCharToMultiByte"
1	0043439e	004351cf	004343f6	"lstrlenW"
1	0043439e	004351cf	00434402	"MultiByteToWideChar"
1	0043439e	004351cf	00434418	"GetTempFileNameA"
1	0043439e	004351cf	0043442c	"GetTempPathA"
1	0043439e	004351cf	0043443c	"GetCurrentDirectoryA"
1	0043439e	004351cf	00434454	"CompareStringA"
1	0043439e	004351cf	00434466	"GetStdHandle"
1	0043439e	004351cf	00434476	"ReadFile"
1	0043439e	004351cf	00434482	"GetFileSize"
1	0043439e	004351cf	00434490	"SetFileTime"
1	0043439e	004351cf	0043449e	"GetFileAttributesA"
1	0043439e	004351cf	004344b4	"SetFileAttributesA"
1	0043439e	004351cf	004344ca	"SetFilePointer"
1	0043439e	004351cf	004344dc	"LoadLibraryA"
1	0043439e	004351cf	004344ec	"FreeLibrary"
1	0043439e	004351cf	004344fa	"LockResource"
1	0043439e	004351cf	0043450a	"LoadResource"
1	0043439e	004351cf	0043451a	"SizeofResource"
1	0043439e	004351cf	0043452c	"FindResourceA"
1	0043439e	004351cf	0043453c	"GetCommandLineA"
1	0043439e	004351cf	0043454e	"GetModuleFileNameA"
1	0043439e	004351cf	00434564	"GetLocalTime"
1	0043439e	004351cf	00434574	"GetProcAddress"
1	0043439e	004351cf	00434586	"GetUserDefaultLangID"
1	0043439e	004351cf	0043459e	"GetACP"
1	0043439e	004351cf	004345a8	"GetModuleHandleA"
1	0043439e	004351cf	004345bc	"GetVersionExA"
1	0043439e	004351cf	004345cc	"GetVersion"
1	0043439e	004351cf	004345da	"ExitProcess"
1	0043439e	004351cf	004345e8	"GetExitCodeProcess"
1	0043439e	004351cf	004345fe	"WaitForSingleObject"
1	0043439e	004351cf	00434614	"GetWindowsDirectoryA"
1	0043439e	004351cf	0043462c	"SetCurrentDirectoryA"
1	0043439e	004351cf	00434644	"CreateProcessA"
1	0043439e	004351cf	00434656	"CreateDirectoryA"
1	0043439e	004351cf	0043466a	"SetConsoleTitleA"
1	0043439e	004351cf	0043467e	"HeapAlloc"
1	0043439e	004351cf	0043468a	"HeapCreate"
1	0043439e	004351cf	00434698	"HeapDestroy"
1	0043439e	004351cf	004346a6	"HeapFree"
1	0043439e	004351cf	004346b2	"HeapReAlloc"
1	0043439e	004351cf	004346c0	"HeapSize"
1	0043439e	004351cf	004346cc	"VirtualAlloc"
1	0043439e	004351cf	004346dc	"VirtualFree"
1	0043439e	004351cf	004346ea	"AllocConsole"
1	0043439e	004351cf	004346fa	"GetDiskFreeSpaceA"
1	0043439e	004351cf	0043470e	"GetFullPathNameA"
1	0043439e	004351cf	00434722	"FreeConsole"
1	0043439e	004351cf	00434730	"SetVolumeLabelA"
1	0043439e	004351cf	00434742	"SetEndOfFile"
1	0043439e	004351cf	00434752	"SetLocalTime"
1	0043439e	004351cf	00434762	"WritePrivateProfileStringA"
1	0043439e	004351cf	00434780	"RemoveDirectoryA"
1	0043439e	004351cf	00434794	"FindClose"
1	0043439e	004351cf	004347a0	"GetVolumeInformationA"
1	0043439e	004351cf	004347b8	"GetLogicalDrives"
1	0043439e	004351cf	004347cc	"FindFirstFileA"
1	0043439e	004351cf	004347de	"CopyFileA"
1	0043439e	004351cf	004347ea	"MoveFileA"
1	0043439e	004351cf	004347f6	"GlobalFree"
1	0043439e	004351cf	00434804	"FileTimeToSystemTime"
1	0043439e	004351cf	0043481c	"LocalFileTimeToFileTime"
1	0043439e	004351cf	00434836	"SystemTimeToFileTime"
1	0043439e	004351cf	0043484e	"FileTimeToLocalFileTime"
1	0043439e	004351cf	00434868	"GetDriveTypeA"
1	0043439e	004351cf	00434878	"QueryPerformanceCounter"
1	0043439e	004351cf	00434892	"QueryPerformanceFrequency"
1	0043439e	004351cf	004348ae	"FindNextFileA"
1	0043439e	004351cf	004348be	"GetPrivateProfileStringA"
1	0043439e	004351cf	004348d8	"KERNEL32.dll"
1	0043439e	004351cf	004348e8	"DestroyCursor"
1	0043439e	004351cf	004348f8	"DestroyIcon"
1	0043439e	004351cf	00434906	"CreateCursor"
1	0043439e	004351cf	00434916	"CharUpperA"
1	0043439e	004351cf	00434924	"CharLowerA"
1	0043439e	004351cf	00434932	"GetWindowTextA"
1	0043439e	004351cf	00434944	"GetWindowTextLengthA"
1	0043439e	004351cf	0043495c	"SetWindowTextA"
1	0043439e	004351cf	0043496e	"GetDlgItem"
1	0043439e	004351cf	0043497c	"ReleaseDC"
1	0043439e	004351cf	00434988	"GetDC"
1	0043439e	004351cf	00434990	"GetSystemMetrics"
1	0043439e	004351cf	004349a4	"GetForegroundWindow"
1	0043439e	004351cf	004349ba	"SetForegroundWindow"
1	0043439e	004351cf	004349d0	"SetWindowPos"
1	0043439e	004351cf	004349e0	"SystemParametersInfoA"
1	0043439e	004351cf	004349f8	"GetWindowRect"
1	0043439e	004351cf	00434a08	"GetClassNameA"
1	0043439e	004351cf	00434a18	"GetFocus"
1	0043439e	004351cf	00434a24	"AdjustWindowRectEx"
1	0043439e	004351cf	00434a3a	"SetFocus"
1	0043439e	004351cf	00434a46	"ShowWindow"
1	0043439e	004351cf	00434a54	"SetWindowLongA"
1	0043439e	004351cf	00434a66	"CreateWindowExA"
1	0043439e	004351cf	00434a78	"RegisterClassA"
1	0043439e	004351cf	00434a8a	"LoadCursorA"
1	0043439e	004351cf	00434a98	"LoadIconA"
1	0043439e	004351cf	00434aa4	"GetSysColor"
1	0043439e	004351cf	00434ab2	"EnumDisplaySettingsA"
1	0043439e	004351cf	00434aca	"ChangeDisplaySettingsA"
1	0043439e	004351cf	00434ae4	"ShowCursor"
1	0043439e	004351cf	00434af2	"IsZoomed"
1	0043439e	004351cf	00434afe	"GetClientRect"
1	0043439e	004351cf	00434b0e	"MoveWindow"
1	0043439e	004351cf	00434b1c	"ClientToScreen"
1	0043439e	004351cf	00434b2e	"GetAsyncKeyState"
1	0043439e	004351cf	00434b42	"GetKeyState"
1	0043439e	004351cf	00434b50	"ScreenToClient"
1	0043439e	004351cf	00434b62	"RegisterWindowMessageA"
1	0043439e	004351cf	00434b7c	"SendMessageA"
1	0043439e	004351cf	00434b8c	"GetWindowLongA"
1	0043439e	004351cf	00434b9e	"GetWindow"
1	0043439e	004351cf	00434baa	"IsWindow"
1	0043439e	004351cf	00434bb6	"SetScrollPos"
