address	length_bytes	data_type	value_preview
00433ecc	8	string	"floor"
0043439e	12	TerminatedCString	"DeleteFileA"
004343ac	12	TerminatedCString	"CloseHandle"
004343ba	10	TerminatedCString	"WriteFile"
004343c6	12	TerminatedCString	"CreateFileA"
004343d4	9	TerminatedCString	"lstrlenA"
004343e0	20	TerminatedCString	"WideCharToMultiByte"
004343f6	9	TerminatedCString	"lstrlenW"
00434402	20	TerminatedCString	"MultiByteToWideChar"
00434418	17	TerminatedCString	"GetTempFileNameA"
0043442c	13	TerminatedCString	"GetTempPathA"
0043443c	21	TerminatedCString	"GetCurrentDirectoryA"
00434454	15	TerminatedCString	"CompareStringA"
00434466	13	TerminatedCString	"GetStdHandle"
00434476	9	TerminatedCString	"ReadFile"
00434482	12	TerminatedCString	"GetFileSize"
00434490	12	TerminatedCString	"SetFileTime"
0043449e	19	TerminatedCString	"GetFileAttributesA"
004344b4	19	TerminatedCString	"SetFileAttributesA"
004344ca	15	TerminatedCString	"SetFilePointer"
004344dc	13	TerminatedCString	"LoadLibraryA"
004344ec	12	TerminatedCString	"FreeLibrary"
004344fa	13	TerminatedCString	"LockResource"
0043450a	13	TerminatedCString	"LoadResource"
0043451a	15	TerminatedCString	"SizeofResource"
0043452c	14	TerminatedCString	"FindResourceA"
0043453c	16	TerminatedCString	"GetCommandLineA"
0043454e	19	TerminatedCString	"GetModuleFileNameA"
00434564	13	TerminatedCString	"GetLocalTime"
00434574	15	TerminatedCString	"GetProcAddress"
00434586	21	TerminatedCString	"GetUserDefaultLangID"
0043459e	7	TerminatedCString	"GetACP"
004345a8	17	TerminatedCString	"GetModuleHandleA"
004345bc	14	TerminatedCString	"GetVersionExA"
004345cc	11	TerminatedCString	"GetVersion"
004345da	12	TerminatedCString	"ExitProcess"
004345e8	19	TerminatedCString	"GetExitCodeProcess"
004345fe	20	TerminatedCString	"WaitForSingleObject"
00434614	21	TerminatedCString	"GetWindowsDirectoryA"
0043462c	21	TerminatedCString	"SetCurrentDirectoryA"
00434644	15	TerminatedCString	"CreateProcessA"
00434656	17	TerminatedCString	"CreateDirectoryA"
0043466a	17	TerminatedCString	"SetConsoleTitleA"
0043467e	10	TerminatedCString	"HeapAlloc"
0043468a	11	TerminatedCString	"HeapCreate"
00434698	12	TerminatedCString	"HeapDestroy"
004346a6	9	TerminatedCString	"HeapFree"
004346b2	12	TerminatedCString	"HeapReAlloc"
004346c0	9	TerminatedCString	"HeapSize"
004346cc	13	TerminatedCString	"VirtualAlloc"
004346dc	12	TerminatedCString	"VirtualFree"
004346ea	13	TerminatedCString	"AllocConsole"
004346fa	18	TerminatedCString	"GetDiskFreeSpaceA"
0043470e	17	TerminatedCString	"GetFullPathNameA"
00434722	12	TerminatedCString	"FreeConsole"
00434730	16	TerminatedCString	"SetVolumeLabelA"
00434742	13	TerminatedCString	"SetEndOfFile"
00434752	13	TerminatedCString	"SetLocalTime"
00434762	27	TerminatedCString	"WritePrivateProfileStringA"
00434780	17	TerminatedCString	"RemoveDirectoryA"
00434794	10	TerminatedCString	"FindClose"
004347a0	22	TerminatedCString	"GetVolumeInformationA"
004347b8	17	TerminatedCString	"GetLogicalDrives"
004347cc	15	TerminatedCString	"FindFirstFileA"
004347de	10	TerminatedCString	"CopyFileA"
004347ea	10	TerminatedCString	"MoveFileA"
004347f6	11	TerminatedCString	"GlobalFree"
00434804	21	TerminatedCString	"FileTimeToSystemTime"
0043481c	24	TerminatedCString	"LocalFileTimeToFileTime"
00434836	21	TerminatedCString	"SystemTimeToFileTime"
0043484e	24	TerminatedCString	"FileTimeToLocalFileTime"
00434868	14	TerminatedCString	"GetDriveTypeA"
00434878	24	TerminatedCString	"QueryPerformanceCounter"
00434892	26	TerminatedCString	"QueryPerformanceFrequency"
004348ae	14	TerminatedCString	"FindNextFileA"
004348be	25	TerminatedCString	"GetPrivateProfileStringA"
004348d8	13	TerminatedCString	"KERNEL32.dll"
004348e8	14	TerminatedCString	"DestroyCursor"
004348f8	12	TerminatedCString	"DestroyIcon"
00434906	13	TerminatedCString	"CreateCursor"
00434916	11	TerminatedCString	"CharUpperA"
00434924	11	TerminatedCString	"CharLowerA"
00434932	15	TerminatedCString	"GetWindowTextA"
00434944	21	TerminatedCString	"GetWindowTextLengthA"
0043495c	15	TerminatedCString	"SetWindowTextA"
0043496e	11	TerminatedCString	"GetDlgItem"
0043497c	10	TerminatedCString	"ReleaseDC"
00434988	6	TerminatedCString	"GetDC"
00434990	17	TerminatedCString	"GetSystemMetrics"
004349a4	20	TerminatedCString	"GetForegroundWindow"
004349ba	20	TerminatedCString	"SetForegroundWindow"
